file,sharpness,exposure,noise,face,score,normalized_score
data\0-DSA00088.ARW,5.503685679607993,0.4743263312024829,0.7833070885377396,10,0.033660210507372876,2.200147198738815
data\0-DSA00090.ARW,4.472241996111182,0.47562473788985926,0.8141638574650603,0,0.01415894200022567,0.0
data\1-DSA00092.ARW,9.10832651005083,0.8135695683450718,0.6939879369783458,0,0.2250042049085979,23.78771485481513
data\10-DSA00085.ARW,49.58583389081021,0.8767653016633704,0.32048711614895015,0,0.3501546234160779,37.90727546695208
data\10-DSA00086.ARW,48.9241186602578,0.8634822904626595,0.3226932424329135,0,0.3413850227357952,36.917882783921705
data\2-DSA00094.ARW,11.404061761830087,0.9668185241714482,0.6512029520069187,10,0.33689252386168683,36.41103581601374
data\31-DSA00082.ARW,132.16357535452187,0.4511709759169362,0.15271505223959178,40,0.293071365768933,31.467101107975243
data\34-DSA00081.ARW,141.39291078908764,0.4761805749716028,0.14461952098785671,60,0.3530397578817609,38.2327784213025
data\59-DSA00076.ARW,264.11301606076717,0.9161122120525271,0.08324411017615423,0,0.6613008058752265,73.01101251282056
data\59-DSA00077.ARW,266.07923003070266,0.9365340845672688,0.08262243343931829,0,0.6755190124144911,74.61512084438822
data\60-DSA00072.ARW,268.6865972834228,0.9313492216748966,0.08201508467201592,0,0.6756448306237967,74.62931574564054
data\60-DSA00073.ARW,268.63896038741007,0.9170741057908491,0.08217112847495402,10,0.683957774756991,75.56718810718547
data\60-DSA00074.ARW,266.00846984150184,0.9546624231875533,0.08283900570540094,10,0.7025543015270926,77.66526168965602
data\60-DSA00075.ARW,264.91260013764,0.9692978664543779,0.08322771778615713,10,0.7096851403737117,78.4697680789351
data\61-DSA00078.ARW,268.97369791909887,0.9396461318592819,0.08199544154739176,20,0.7141164182103232,78.96970804517274
data\78-DSA00080.ARW,335.38705821050866,0.7744656522987328,0.06821776539597221,50,0.7478238661942852,82.77260667360648
data\9-DSA00087.ARW,43.17077267221708,0.820600552359734,0.3510250230148345,10,0.32261825303966984,34.80060227157073
data\95-DSA00079.ARW,421.6428296850963,0.8504185806566837,0.05619462713542768,10,0.8269754814884756,91.70254908229344
data\99-DSA00083.ARW,439.41048572925274,0.8602012160418921,0.05427661167960058,10,0.8534987521625639,94.69492363749735
data\BEST_100-DSA00084.ARW,433.8545003372369,0.8662119487095996,0.05459019299541547,40,0.9005209326127572,100.0
